Metrica_Classe,precision,recall,f1-score,support
BENIGN,0.9926376261922025,0.8963033843674456,0.942014026730184,19856.0
BOTNET,0.6834532374100719,0.95,0.7949790794979079,100.0
BRUTE-FORCE,0.6903553299492385,1.0,0.8168168168168168,136.0
DDOS,0.8199411022297013,0.9903455284552846,0.8971231300345225,1968.0
DOS,0.8952200063311174,0.9560513860716701,0.9246362596043812,2958.0
INFILTRATION,0.04950495049504951,0.7352941176470589,0.09276437847866419,34.0
PORTSCAN,0.08778173190984578,0.74,0.1569459172852598,100.0
WEB-ATTACK,0.941747572815534,0.97,0.9556650246305419,100.0
accuracy,0.9108585458577538,0.9108585458577538,0.9108585458577538,0.9108585458577538
macro avg,0.6450801946665952,0.9047493020676824,0.6976180791347848,25252.0
weighted avg,0.9598601030013997,0.9108585458577538,0.9310249868790179,25252.0
METRICAS_HARDWARE,Tempo Predicao: 0.0071s,Pico RAM: 3.98 MB,Uso Medio CPU: 24.4%,Pico CPU: 40.0%
