Metrica_Classe,precision,recall,f1-score,support
BENIGN,0.9948514713033088,0.9696948106661379,0.9821120713320961,1291264.0
BOTNET,0.5596804511278195,0.9690805532953621,0.709562109025916,1229.0
BRUTE-FORCE,0.8223006486074017,0.9688694088559227,0.8895882777835105,8898.0
DDOS,0.8525469526637088,0.9983748984311519,0.9197162773457321,127992.0
DOS,0.9459097073029513,0.9679335595827725,0.9567949119715596,192413.0
INFILTRATION,0.0064783622700181395,0.7352941176470589,0.012843565373747753,34.0
PORTSCAN,0.6729857819905213,0.6670146137787056,0.6699868938401049,1916.0
WEB-ATTACK,0.9939728779507785,0.9870324189526185,0.9904904904904905,2005.0
accuracy,0.971399064186336,0.971399064186336,0.971399064186336,0.971399064186336
macro avg,0.7310907816520635,0.9079117976512163,0.7663868246453946,1625751.0
weighted avg,0.9761812598646774,0.971399064186336,0.9731131890275637,1625751.0
METRICAS_HARDWARE,Tempo Predicao: 13.5978s,Pico RAM: 1381.03 MB,Uso Medio CPU: 97.8%,Pico CPU: 100.0%
