Metrica_Classe,precision,recall,f1-score,support
BENIGN,0.9916117435590174,0.916851329572925,0.9527672379955515,19856.0
BOTNET,0.7153284671532847,0.98,0.8270042194092827,100.0
BRUTE-FORCE,0.5317460317460317,0.9852941176470589,0.6907216494845361,136.0
DDOS,0.846777827850383,0.9547764227642277,0.8975400047766897,1968.0
DOS,0.794900849858357,0.9486139283299526,0.8649815043156597,2958.0
INFILTRATION,0.02594810379241517,0.38235294117647056,0.048598130841121495,34.0
PORTSCAN,0.5263157894736842,0.7,0.6008583690987125,100.0
WEB-ATTACK,0.8181818181818182,0.99,0.8959276018099548,100.0
accuracy,0.9228575954379851,0.9228575954379851,0.9228575954379851,0.9228575954379851
macro avg,0.656351328951874,0.8572360924363294,0.7222998397164386,25252.0
weighted avg,0.9498812198053898,0.9228575954379851,0.9334345713850866,25252.0
METRICAS_HARDWARE,Tempo Predicao: 60.4122s,Pico RAM: 14.07 MB,Uso Medio CPU: 54.9%,Pico CPU: 100.0%
