Metrica_Classe,precision,recall,f1-score,support
BENIGN,0.9882997227808882,0.9574796478489295,0.97264559879792,1291264.0
BOTNET,0.47215830648872525,0.8348250610252238,0.6031746031746031,1229.0
BRUTE-FORCE,0.8011997375574094,0.9606653180489998,0.873715950324526,8898.0
DDOS,0.8017776551506671,0.953567410463154,0.8711096836357797,127992.0
DOS,0.8957100083443774,0.9483922603982059,0.9212986219622712,192413.0
INFILTRATION,0.0,0.0,0.0,34.0
PORTSCAN,0.38331952499309585,0.7244258872651357,0.5013545241105292,1916.0
WEB-ATTACK,0.9666339548577036,0.9825436408977556,0.9745238684145436,2005.0
accuracy,0.9557570624283792,0.9557570624283792,0.9557570624283792,0.9557570624283792
macro avg,0.6636373637716084,0.7952374032434255,0.7147278563025216,1625751.0
weighted avg,0.9604823418982296,0.9557570624283792,0.9571805833730939,1625751.0
METRICAS_HARDWARE,Tempo Predicao: 10.8997s,Pico RAM: 108.98 MB,Uso Medio CPU: 95.9%,Pico CPU: 100.0%
