Metrica_Classe,precision,recall,f1-score,support
BENIGN,0.4130890052356021,0.05562941923007192,0.09805418456840535,198564.0
BOTNET,0.0,0.0,0.0,188.0
BRUTE-FORCE,0.0,0.0,0.0,1368.0
DDOS,0.0957530964650574,0.8610334840709314,0.17234067437213016,19681.0
DOS,0.053016142735768906,0.0421792618629174,0.046980876374040054,29588.0
INFILTRATION,0.003006012024048096,0.17647058823529413,0.005911330049261084,34.0
PORTSCAN,0.0069810999489187805,0.13945578231292516,0.013296578563320902,294.0
WEB-ATTACK,0.0,0.0,0.0,308.0
accuracy,0.11713628637136286,0.11713628637136286,0.11713628637136286,0.11713628637136286
macro avg,0.07148066955117441,0.15934606696401749,0.042072955490894695,250025.0
weighted avg,0.34188548427633486,0.11713628637136286,0.09701449161657083,250025.0
METRICAS_HARDWARE,Tempo Predicao: 0.0454s,Pico RAM: 17.01 MB,Uso Medio CPU: 27.8%,Pico CPU: 41.7%
