Metrica_Classe,precision,recall,f1-score,support
BENIGN,0.8628534581535857,0.6922418653350515,0.768188648452845,1291264.0
BOTNET,0.0,0.0,0.0,1229.0
BRUTE-FORCE,0.029411764705882353,0.0002247696111485727,0.00044612982377871963,8898.0
DDOS,0.05831315929223397,0.1827379836239765,0.08841301492198796,127992.0
DOS,0.7500823635687337,0.7336198697593198,0.7417597864441425,192413.0
INFILTRATION,0.0,0.0,0.0,34.0
PORTSCAN,0.0,0.0,0.0,1916.0
WEB-ATTACK,0.0,0.0,0.0,2005.0
accuracy,0.6510320461128426,0.6510320461128426,0.6510320461128426,0.6510320461128426
macro avg,0.21258259321505446,0.20110306104118703,0.19985094745534426,1625751.0
weighted avg,0.7788539139001402,0.6510320461128426,0.704891893662657,1625751.0
METRICAS_HARDWARE,Tempo Predicao: 0.2148s,Pico RAM: 121.35 MB,Uso Medio CPU: 42.1%,Pico CPU: 100.0%
