Metrica_Classe,precision,recall,f1-score,support
BENIGN,0.7419354838709677,0.002316680096696213,0.004618937644341801,19856.0
BOTNET,0.0,0.0,0.0,100.0
BRUTE-FORCE,0.011973939073780596,1.0,0.02366452061945363,136.0
DDOS,0.0,0.0,0.0,1968.0
DOS,0.39157818967068564,0.735632183908046,0.5110980622431004,2958.0
INFILTRATION,0.017062314540059347,0.6764705882352942,0.03328509406657019,34.0
PORTSCAN,0.008356545961002786,0.03,0.013071895424836602,100.0
WEB-ATTACK,0.019747557003257327,0.97,0.038707102952913006,100.0
accuracy,0.09824964359258673,0.09824964359258673,0.09824964359258673,0.09824964359258673
macro avg,0.14883175376496918,0.4268024315300046,0.07805570161890195,25252.0
weighted avg,0.6294621510174498,0.09824964359258673,0.06387888728898407,25252.0
METRICAS_HARDWARE,Tempo Predicao: 0.0715s,Pico RAM: 7.05 MB,Uso Medio CPU: 19.4%,Pico CPU: 33.3%
