Metrica_Classe,precision,recall,f1-score,support
BENIGN,0.9831687080205452,0.9924585522402855,0.9877917886607811,1291264.0
BOTNET,0.6601887840088839,0.967453213995118,0.7848184818481848,1229.0
BRUTE-FORCE,0.990607656183293,0.7823106316026073,0.8742229199372057,8898.0
DDOS,0.957832052772201,0.9915229076817301,0.9743863393810032,127992.0
DOS,0.9874899705048085,0.9082754283754216,0.9462277099333768,192413.0
INFILTRATION,0.015537600994406464,0.7352941176470589,0.030432136335970784,34.0
PORTSCAN,0.7253886010362695,0.14613778705636743,0.24326672458731538,1916.0
WEB-ATTACK,0.9929683576092416,0.9860349127182045,0.9894894894894894,2005.0
accuracy,0.980241746737354,0.980241746737354,0.980241746737354,0.980241746737354
macro avg,0.7891477163912062,0.8136859439145991,0.728829448771666,1625751.0
weighted avg,0.9811700437040446,0.980241746737354,0.980146764488475,1625751.0
METRICAS_HARDWARE,Tempo Predicao: 6.3202s,Pico RAM: 624.50 MB,Uso Medio CPU: 88.6%,Pico CPU: 100.0%
