Metrica_Classe,precision,recall,f1-score,support
BENIGN,0.8888912016468112,0.959088923721253,0.9226567907194705,1291264.0
BOTNET,0.0,0.0,0.0,1229.0
BRUTE-FORCE,0.0,0.0,0.0,8898.0
DDOS,0.0,0.0,0.0,127992.0
DOS,0.6115850901182196,0.7380322535379626,0.6688851835104379,192413.0
INFILTRATION,0.0,0.0,0.0,34.0
PORTSCAN,0.0,0.0,0.0,1916.0
WEB-ATTACK,0.0,0.0,0.0,2005.0
accuracy,0.8491115798175736,0.8491115798175736,0.8491115798175736,0.8491115798175736
macro avg,0.18755953647062884,0.21214014715740195,0.19894274677873855,1625751.0
weighted avg,0.7783911131213728,0.8491115798175736,0.8119913215654675,1625751.0
METRICAS_HARDWARE,Tempo Predicao: 0.2070s,Pico RAM: 113.14 MB,Uso Medio CPU: 39.0%,Pico CPU: 100.0%
