Metrica_Classe,precision,recall,f1-score,support
BENIGN,0.9913748445089681,0.960366741425456,0.9756244738684731,1291264.0
BOTNET,0.4664793255720594,0.9454841334418226,0.624731182795699,1229.0
BRUTE-FORCE,0.8258145363408521,0.9628006293549112,0.8890618513906186,8898.0
DDOS,0.8247931159539745,0.9772798299893743,0.8945849588946064,127992.0
DOS,0.9238212402711524,0.956167202839725,0.9397159588623031,192413.0
INFILTRATION,0.00035391966023712616,0.058823529411764705,0.0007036059806508355,34.0
PORTSCAN,0.4071925754060325,0.732776617954071,0.5234899328859061,1916.0
WEB-ATTACK,0.9320987654320988,0.9790523690773068,0.9549987837509122,2005.0
accuracy,0.9609392828299045,0.9609392828299045,0.9609392828299045,0.9609392828299045
macro avg,0.6714910403931718,0.821593881686804,0.7253638435536462,1625751.0
weighted avg,0.9681797740794434,0.9609392828299045,0.9636767965386297,1625751.0
METRICAS_HARDWARE,Tempo Predicao: 4.6346s,Pico RAM: 112.11 MB,Uso Medio CPU: 91.8%,Pico CPU: 100.0%
